CIF_NO,CUSTOMERNAME,DOB,GENDER,PAN_NO,MOBILE,CITY,STATE,OCCUPATIONTYPE,MONTHLY_INCOME,CREDIT_SCORE,CUSTOMER_SINCE_DATE
701181,Kumar Reddy,1974-08-08,M,FTRHO1726S,8724534236,Bengaluru,Karnataka,Salaried,64619.04,627,2014-07-25
701182,Harish Iyengar,2001-06-17,M,JOSND1356S,8836950792,Madurai,Tamil Nadu,Salaried,151974.3,584,2016-01-18
701183,Geetha Jadhav,1966-06-25,F,ZMHZK1655L,7175659948,Ranchi,Jharkhand,Self Employed,223947.98,700,2022-01-24
701184,Ganesh Sharma,1999-05-17,M,GTEPV6413I,9163936373,Lucknow,Uttar Pradesh,Business,287003.35,589,2019-12-14
701185,Pankaj Naidu,1962-09-10,M,XVTRL0650B,9504910239,Delhi,Delhi,Salaried,122684.63,628,2011-03-11
701186,Pooja Nambiar,1977-07-21,F,KOGVG4445G,6151384477,Delhi,Delhi,Salaried,179533.6,693,2011-06-25
701187,Chandran Naidu,1974-03-14,M,QSPLF5783X,7209014320,Chennai,Tamil Nadu,Government Employee,135376.12,703,2020-09-06
701188,Priya Singh,1966-09-21,F,TCMSA5411A,6847311388,Kanpur,Uttar Pradesh,Business,68239.03,700,2016-02-06
701189,Geetha Nambiar,1987-12-03,F,RRKEQ1623E,9717881736,Bengaluru,Karnataka,Self Employed,175531.5,882,2020-02-07
701190,Gokul Kumar,1964-10-25,M,DBPOV6399W,6887222334,Kanpur,Uttar Pradesh,Farmer,57031.38,622,2018-02-07
701191,Vidya Nambiar,1988-03-19,F,MNZEX9736M,8615354294,Chennai,Tamil Nadu,Self Employed,83186.01,693,2017-10-01
701192,Lakshmi Iyer,1987-09-27,F,TIYWG1619Y,8515665599,Hyderabad,Telangana,Government Employee,83282.32,555,2022-09-06
701193,Revathi Iyer,1990-01-10,F,UNEQG1602P,9205967477,Ahmedabad,Gujarat,Salaried,66138.97,715,2023-11-06
701194,Sivakumar Deshmukh,1980-06-26,M,CMTAW2590L,9532057447,Jaipur,Rajasthan,Self Employed,293171.53,779,2020-11-11
701195,Ramesh Chelladurai,1988-05-23,M,SNXIW6809O,8241243597,Hyderabad,Telangana,Government Employee,133059.59,785,2021-12-15
701196,Nithya Gupta,1960-07-07,F,MCTWI4721R,7777833731,Lucknow,Uttar Pradesh,Salaried,87986.28,609,2024-07-02
701197,Revathi Patel,1994-02-28,F,OGHBF0595R,8914724167,Pune,Maharashtra,Self Employed,128789.59,643,2011-03-30
701198,Karthik Iyer,1968-03-18,M,XDKIZ8179R,7744419102,Chandigarh,Chandigarh,Government Employee,74061.21,789,2019-01-11
701199,Bhavya Naidu,1963-12-12,F,LLVDQ7810Y,9357939690,Nashik,Maharashtra,Government Employee,51274.04,661,2025-04-04
701200,Mani Dutta,2002-03-07,M,OBZNJ1874V,8462968975,Chennai,Tamil Nadu,Salaried,86889.11,761,2010-11-03
701201,Ilango Venkatesan,1974-06-16,M,NOUQY5636K,7338111951,Bengaluru,Karnataka,Retired,64781.53,-1,2020-07-23
701202,Rakesh Mukherjee,1977-03-29,M,ISAZP0201T,7699129195,Kolkata,West Bengal,Business,432830.57,577,2016-07-20
701203,Meena Iyengar,1981-10-20,F,ICRKS9620S,6510093912,Kanpur,Uttar Pradesh,Salaried,23535.89,801,2014-12-15
701204,Sowmya Menon,1977-12-31,F,FMZXX4366U,9520133677,Ahmedabad,Gujarat,Salaried,121890.07,767,2017-06-16
701205,Vivek Kumar,1960-02-20,M,WMDVR2619H,7986865782,Surat,Gujarat,Salaried,70014.83,714,2014-12-17
701206,Shankar Rana,1959-12-14,M,KYJLI3201N,8571338358,Ahmedabad,Gujarat,Business,62012.2,594,2020-07-24
701207,Naveen Murugan,1956-11-15,M,NOBAC9674W,9360443140,Surat,Gujarat,Government Employee,75432.52,654,2014-05-16
701208,Mahesh Venkatesan,1963-11-05,M,SNXSP1523V,8745375289,Kolkata,West Bengal,Salaried,155283.88,684,2016-10-09
701209,Anjali Nambiar,1988-10-23,F,GKYYX2892C,7476699205,Mumbai,Maharashtra,Salaried,21542.5,695,2014-07-01
701210,Suresh Iyer,1974-06-13,M,DWYJE1052K,7742088348,Chennai,Tamil Nadu,Business,165730.05,660,2020-03-10
701211,Meena Iyengar,1980-01-28,F,JAJDP7396V,8744942765,Patna,Bihar,Salaried,114989.74,649,2017-10-31
701212,Jagan Rana,1978-12-14,M,WEURY2038P,7547521331,Lucknow,Uttar Pradesh,Self Employed,102819.55,688,2019-10-07
701213,Chandran Dutta,1965-06-11,M,JTLZG2799O,8539384475,Chennai,Tamil Nadu,Retired,54519.35,802,2019-06-03
701214,Saranya Chauhan,1981-08-09,F,MVLKZ2438R,7520444070,Chandigarh,Chandigarh,Salaried,31372.8,479,2013-09-02
701215,Rakesh Verma,1958-08-15,M,NBIXY6102N,6685002666,Kochi,Kerala,Government Employee,118381.79,539,2010-02-06
701216,Senthil Gupta,1980-03-09,M,BDFQP8543Z,7393763563,Chennai,Tamil Nadu,Salaried,130743.22,523,2014-03-24
701217,Arun Das,1981-04-09,M,DEPXL6189M,9119065065,Coimbatore,Tamil Nadu,Salaried,174914.35,604,2012-10-26
701218,Geetha Elumalai,1972-05-14,F,VBWOX5931X,9962909996,Ahmedabad,Gujarat,Professional,125890.09,504,2020-04-03
701219,Rajesh Jadhav,2004-12-28,M,EBCAK1981N,9461680707,Delhi,Delhi,Business,453730.86,722,2011-02-01
701220,Gopal Pandey,2003-11-11,M,HPXFO9509Z,8864602087,Lucknow,Uttar Pradesh,Self Employed,170985.12,679,2018-06-12
701221,Deepak Rana,1991-12-18,M,SUHRZ9974S,7036414632,Ranchi,Jharkhand,Self Employed,254386.36,-1,2024-05-08
701222,Amit Chauhan,1972-07-05,M,ICYZX3748L,8067111451,Mumbai,Maharashtra,Salaried,94980.95,645,2021-10-25
701223,Shanthi Iyengar,2000-05-23,F,PLNVH1631K,7620773283,Ahmedabad,Gujarat,Business,75387.34,605,2021-06-14
701224,Madhavi Iyengar,1971-10-05,F,TNCIB3910X,7255829833,Delhi,Delhi,Business,37209.26,-1,2010-02-09
701225,Senthil Iyer,1999-01-16,M,UFGXO1641M,9520282796,Kolkata,West Bengal,Farmer,54617.09,684,2024-05-06
701226,Hari Mehta,1960-03-04,M,GCRKL3300I,6029175266,Hyderabad,Telangana,Salaried,153774.06,686,2022-06-23
701227,Nitin Thakur,1965-07-12,M,FIYDR3606W,9727964669,Kolkata,West Bengal,Government Employee,88794.56,701,2024-08-05
701228,Senthil Subramaniam,1991-07-05,M,SCVKK7371P,9532940869,Kolkata,West Bengal,Salaried,93123.26,600,2015-12-18
701229,Arun Iyengar,1987-08-14,M,IIDBV7525E,6149192818,Delhi,Delhi,Self Employed,133424.67,731,2016-12-02
701230,Rajesh Nambiar,1989-04-28,M,GHLXU4076V,9277888351,Hyderabad,Telangana,Salaried,94117.53,530,2020-04-15
701231,Anjali Yadav,1996-02-11,F,PNJSW7830Q,8573826600,Kanpur,Uttar Pradesh,Salaried,141472.08,788,2024-10-06
701232,Praveen Perumal,1969-06-21,M,MMBEJ1654V,6402378412,Kolkata,West Bengal,Salaried,162411.97,377,2020-02-22
701233,Yamuna Kulkarni,1965-05-22,F,QIPGT8768P,9084441736,Bengaluru,Karnataka,Self Employed,283185.38,613,2020-03-22
701234,Ilango Nair,1970-09-23,M,KWGZT1365W,6437923577,Kanpur,Uttar Pradesh,Business,285378.79,555,2019-02-23
701235,Swathi Chowdhury,2001-08-27,F,VHNLG2426F,9096334390,Patna,Bihar,Business,94768.54,745,2014-04-30
701236,Dinesh Kumar,1987-03-11,M,EDLGZ8494X,8441156241,Patna,Bihar,Salaried,166286.19,-1,2014-05-08
701237,Amit Perumal,2002-06-09,M,NCHXL5347V,9126029665,Kochi,Kerala,Business,494905.52,528,2020-12-08
701238,Sneha Verma,1957-09-18,F,POQYS9250B,7088276259,Chandigarh,Chandigarh,Retired,58083.23,-1,2019-01-02
701239,Sanjay Roy,1960-01-05,M,TOLTP3758P,6424656842,Lucknow,Uttar Pradesh,Self Employed,244826.7,843,2011-07-09
701240,Rajesh Bhat,1991-01-14,M,FRUZQ6037M,8189765406,Kolkata,West Bengal,Farmer,47021.35,523,2023-07-07
701241,Uma Mehta,1988-02-01,F,JCONI3187X,8534780092,Chandigarh,Chandigarh,Salaried,70851.4,862,2014-08-27
701242,Karthik Raman,1971-12-01,M,HZMWD8761O,9241639054,Bengaluru,Karnataka,Government Employee,21840.24,712,2022-10-29
701243,Devi Perumal,1991-06-17,F,ZDSLQ0715Q,7455362202,Chandigarh,Chandigarh,Self Employed,210572.75,672,2020-01-20
701244,Sunitha Raman,1990-10-05,F,LZGNU7394K,9142197198,Pune,Maharashtra,Salaried,64583.59,711,2020-04-28
701245,Sunitha Iyengar,1994-08-20,F,UYLUT5239O,6343859611,Ahmedabad,Gujarat,Farmer,42187.57,878,2013-10-24
701246,Sanjay Chowdhury,1959-10-25,M,QSDYX5082X,9262427389,Bengaluru,Karnataka,Professional,178951.94,754,2011-01-19
701247,Vinod Krishnan,1982-11-08,M,KKEMS2530K,6926234189,Chennai,Tamil Nadu,Self Employed,253031.93,457,2022-09-15
701248,Dinesh Thakur,1967-06-18,M,HGRIF4543H,6245942965,Bengaluru,Karnataka,Self Employed,100635.57,783,2014-06-05
701249,Priya Subramaniam,1976-08-17,F,IXTXZ2051S,6788113332,Jaipur,Rajasthan,Farmer,20013.97,692,2014-07-23
701250,Sanjay Raman,1965-02-02,M,IWFJA1684K,8452719146,Jaipur,Rajasthan,Professional,146349.52,516,2015-08-24
701251,Rajesh Kumar,1984-06-30,M,OPVBG0135X,8059797167,Lucknow,Uttar Pradesh,Salaried,173504.48,742,2019-01-20
701252,Ashok Ghosh,1979-09-08,M,ZDGQL7483W,6535652241,Mumbai,Maharashtra,Salaried,28706.55,554,2011-11-19
701253,Yamuna Perumal,1994-01-30,F,BJLOM8369V,7639167978,Ranchi,Jharkhand,Salaried,135602.16,687,2010-01-08
701254,Chitra Chowdhury,1962-11-07,F,WURSR7864X,7393783007,Kochi,Kerala,Salaried,123734.53,692,2014-09-30
701255,Suresh Singh,1957-05-03,M,SYVKD6878A,9592540931,Jaipur,Rajasthan,Business,131743.98,608,2016-11-10
701256,Divya Roy,1979-09-30,F,DYRSL3427V,6241278558,Surat,Gujarat,Salaried,128880.16,731,2013-03-17
701257,Padma Elumalai,1971-04-24,F,UTBSU6767Z,6675979703,Delhi,Delhi,Salaried,124585.81,572,2025-04-04
701258,Latha Deshmukh,1985-04-30,F,OJOIW4626J,8469825287,Ranchi,Jharkhand,Farmer,44139.43,688,2015-08-14
701259,Nitin Banerjee,1976-12-22,M,FVKEV4230R,8083937716,Patna,Bihar,Retired,46926.74,618,2023-10-10
701260,Esther Verma,1967-09-05,F,GRPUN2378W,6702494230,Delhi,Delhi,Salaried,26476.74,652,2011-11-23
701261,Farooq Bhat,1970-05-19,M,GPXHM2145R,7213936806,Hyderabad,Telangana,Salaried,139988.07,852,2013-03-20
701262,Rekha Singh,1969-06-25,F,WQFKC0754H,6999857831,Bengaluru,Karnataka,Self Employed,229363.76,680,2019-11-23
701263,Divya Thakur,1985-10-31,F,UUFIB6897U,8374360975,Pune,Maharashtra,Salaried,172236.86,566,2021-02-07
701264,Deepak Roy,1965-04-19,M,ZPMCB7033N,8095806337,Ahmedabad,Gujarat,Salaried,108793.38,658,2022-02-08
701265,Nitin Rana,1967-09-06,M,VNSAJ8431D,7604448661,Chandigarh,Chandigarh,Salaried,98919.61,596,2011-10-30
701266,Balaji Elumalai,1984-08-29,M,WDKXT5644F,9526186056,Surat,Gujarat,Salaried,58428.98,672,2012-05-21
701267,Indira Elumalai,1981-02-23,F,PHIBH0486Q,6026650505,Mumbai,Maharashtra,Professional,392038.38,685,2024-09-15
701268,Rohit Raman,1989-08-16,M,GIFIJ3525S,6492257959,Kolkata,West Bengal,Salaried,121846.79,678,2013-11-21
701269,Bhavya Jadhav,1981-05-23,F,FZAXS2362L,6435526772,Jaipur,Rajasthan,Salaried,40655.35,677,2022-07-02
701270,Parvathi Chelladurai,2000-11-08,F,DLAKC2820Q,7639607162,Bengaluru,Karnataka,Self Employed,164479.54,618,2019-01-15
701271,Pooja Menon,1961-12-26,F,WLRNM8846X,6104781662,Ranchi,Jharkhand,Self Employed,270926.01,712,2018-09-15
701272,Rajini Kumar,1969-11-24,F,NWDXJ3631X,9616633003,Patna,Bihar,Salaried,111792.98,770,2012-01-07
701273,Sneha Nair,1970-10-16,F,NCKUV2056Z,6775388964,Nashik,Maharashtra,Self Employed,48678.46,611,2024-11-01
701274,Gopal Dutta,1999-02-14,M,JQTZZ0046K,6447579431,Kanpur,Uttar Pradesh,Professional,398228.03,664,2025-04-09
701275,Shanthi Das,1975-04-03,F,JMGFC7107I,9519657757,Surat,Gujarat,Salaried,63357.7,675,2022-08-19
701276,Nandhini Mukherjee,2004-04-24,F,RWDAM2982J,8762017327,Hyderabad,Telangana,Salaried,99323.8,789,2017-10-30
701277,Sunil Raman,2003-10-19,M,SXVSW1719Y,8589162397,Kolkata,West Bengal,Salaried,64203.37,772,2022-05-25
701278,Sanjay Bhat,1973-02-09,M,QFLWF8323S,6940825079,Madurai,Tamil Nadu,Salaried,116110.91,600,2017-12-03
701279,Bharath Bhat,1966-06-26,M,BBTQP5752U,8955736331,Surat,Gujarat,Self Employed,111752.49,676,2010-09-27
701280,Latha Mehta,1996-09-26,F,JYTCU2069K,9777956358,Surat,Gujarat,Professional,62637.27,528,2022-09-21
701281,Uma Nair,1961-11-14,F,ZKXJR0057O,8722245699,Hyderabad,Telangana,Government Employee,143820.66,578,2020-02-27
701282,Lakshmi Kumar,1974-03-18,F,RNECJ7733I,6520959439,Surat,Gujarat,Farmer,51675.33,671,2016-07-23
701283,Mani Reddy,1965-08-20,M,DNEXO6887G,7908404239,Ranchi,Jharkhand,Salaried,104699.71,729,2019-12-21
701284,Arun Raman,1965-07-20,M,XNOOP0997Z,9973267022,Kochi,Kerala,Business,101934.2,760,2010-05-30
701285,Dilip Rana,1958-02-28,M,EKVUM0720Z,7590259784,Pune,Maharashtra,Salaried,126837.58,640,2018-04-21
701286,Tara Balasubramanian,2000-02-01,F,PHXLJ0340A,6725057444,Kolkata,West Bengal,Salaried,51604.74,541,2023-04-30
701287,Hari Sen,1986-05-15,M,VLDWY0658C,6365976113,Nashik,Maharashtra,Retired,34047.86,707,2011-04-12
701288,Bharath Verma,1992-02-01,M,BRKIK9576G,7182889525,Delhi,Delhi,Business,152767.05,653,2013-01-02
701289,Sowmya Perumal,1998-08-26,F,UXRMP0731B,8350611830,Kanpur,Uttar Pradesh,Farmer,54847.0,710,2015-02-02
701290,Deepak Patel,1977-01-17,M,IIMMH2575M,7716879381,Chennai,Tamil Nadu,Salaried,77647.54,685,2024-09-05
701291,Ilango Naidu,1968-12-18,M,VAKLS1329U,8080669326,Bengaluru,Karnataka,Government Employee,23470.69,737,2015-11-18
701292,Janani Krishnan,2003-04-28,F,WBISL6509A,7599236550,Kolkata,West Bengal,Salaried,40745.4,732,2011-09-02
701293,Shankar Thakur,1981-12-20,M,OFPDW4384O,9041667024,Delhi,Delhi,Farmer,42384.34,750,2023-02-13
701294,Anand Yadav,1988-04-01,M,YWENN7755V,6049614140,Hyderabad,Telangana,Business,206483.9,626,2018-01-14
701295,Amit Nambiar,1995-03-05,M,VISFU7687E,8370392218,Chennai,Tamil Nadu,Self Employed,258478.62,764,2018-01-17
701296,Dinesh Bose,1971-01-14,M,KCGBN3066N,7677857822,Kanpur,Uttar Pradesh,Professional,206730.83,622,2023-07-30
701297,Lakshmi Mukherjee,1958-05-02,F,BYIGW5811F,6016171651,Kanpur,Uttar Pradesh,Business,63085.58,678,2020-03-14
701298,Rakesh Joshi,1965-03-02,M,FAWJE8554U,9013714548,Jaipur,Rajasthan,Self Employed,37610.23,-1,2010-07-14
701299,Fathima Sharma,1990-10-04,F,NRBNO5608R,6561184480,Ahmedabad,Gujarat,Government Employee,110281.61,846,2017-06-25
701300,Anitha Gupta,1981-06-29,F,EJVJJ4241C,6047096058,Chandigarh,Chandigarh,Self Employed,83182.51,703,2012-04-28
701301,Rakesh Verma,1957-11-29,M,MSASJ4420L,7066603523,Mumbai,Maharashtra,Salaried,54629.91,559,2025-05-09
701302,Mani Mukherjee,1958-06-12,M,LJLIJ0136B,6194144675,Chandigarh,Chandigarh,Government Employee,30367.39,811,2017-09-14
701303,Pooja Nambiar,2003-03-25,F,CZEBZ8215M,8024068339,Nashik,Maharashtra,Salaried,105337.09,765,2020-01-19
701304,Hari Saha,1991-07-11,M,XDTSP5642F,8786101698,Bhubaneswar,Odisha,Salaried,140927.64,778,2013-12-27
701305,Sunitha Menon,1975-01-15,F,NMWOZ6951E,8603509683,Pune,Maharashtra,Self Employed,257135.03,688,2020-09-21
701306,Shankar Das,1976-05-07,M,ZLIQA0666R,7864391902,Patna,Bihar,Self Employed,76527.56,702,2010-07-19
701307,Hema Yadav,1977-04-11,F,VHYBT4493W,8297274429,Bengaluru,Karnataka,Professional,214172.2,647,2015-09-24
701308,Arun Pillai,1977-05-08,M,OXUOB0245D,7786862994,Kanpur,Uttar Pradesh,Retired,74884.41,603,2023-01-28
701309,Saranya Mishra,1974-11-05,F,ZJTHP3106T,7438611788,Madurai,Tamil Nadu,Self Employed,48355.89,815,2012-05-27
701310,Ashok Saha,1972-06-16,M,RRCUX2130B,7759457875,Mumbai,Maharashtra,Government Employee,24058.93,-1,2018-01-24
701311,Vidya Sen,1986-06-23,F,SCSQN6459Q,8517747819,Surat,Gujarat,Professional,349081.19,635,2021-02-13
701312,Farooq Elumalai,1963-03-25,M,LLDZV2313L,7738463708,Lucknow,Uttar Pradesh,Salaried,63664.1,624,2021-03-18
701313,Ravi Desai,1965-09-28,M,UMKRA4445E,8583332841,Patna,Bihar,Salaried,45349.19,627,2018-06-02
701314,Vivek Bhat,1997-07-26,M,IUVGN6503A,8683130838,Coimbatore,Tamil Nadu,Retired,10670.51,846,2022-07-27
701315,Padma Gupta,1978-12-02,F,MVPMD5944O,6306162978,Chennai,Tamil Nadu,Government Employee,39596.34,753,2024-10-21
701316,Farooq Perumal,1973-05-11,M,MZMOQ4656V,6013541553,Delhi,Delhi,Salaried,43051.03,635,2021-05-03
701317,Manoj Reddy,2001-11-27,M,KOUMA9527N,7193950065,Surat,Gujarat,Salaried,31464.44,-1,2021-04-19
701318,Mahesh Rajendran,1980-08-16,M,SXCRO9376U,7713911548,Kolkata,West Bengal,Salaried,21983.67,665,2016-08-29
701319,Janani Pillai,1972-07-27,F,VJVNQ3812K,9501449539,Hyderabad,Telangana,Salaried,154109.81,718,2023-02-22
701320,Divya Pillai,1969-10-23,F,FFCMM9969R,8775558237,Hyderabad,Telangana,Salaried,70734.39,753,2018-03-23
701321,Rajesh Mishra,1965-05-27,M,UECOV2020E,9865962666,Bengaluru,Karnataka,Self Employed,42128.79,517,2011-12-22
701322,Gopal Elumalai,2005-03-18,M,QDPRL7989T,9942472964,Patna,Bihar,Self Employed,138129.63,755,2021-04-29
701323,Oviya Perumal,1997-11-11,F,CJWLM5860M,7048405322,Chennai,Tamil Nadu,Salaried,108891.16,649,2011-11-29
701324,Kavitha Murugan,1972-01-18,F,ZGJUU8696I,9305561581,Bengaluru,Karnataka,Salaried,97610.97,604,2017-10-15
701325,Rakesh Sen,1997-11-27,M,TTFWH9230K,6752774240,Kochi,Kerala,Farmer,19615.76,632,2025-01-10
701326,Arun Mishra,1972-07-07,M,WIZOL8876D,6180673150,Bengaluru,Karnataka,Government Employee,131732.3,745,2020-08-17
701327,Usha Patel,1979-11-25,F,XUTVQ7507O,9409873113,Mumbai,Maharashtra,Salaried,98515.85,837,2010-04-25
701328,Lavanya Pillai,1960-01-25,F,CALNT6133I,7289248835,Kolkata,West Bengal,Salaried,58110.29,684,2020-02-29
701329,Pooja Singh,1970-08-24,F,BHXIG1117X,9234568812,Hyderabad,Telangana,Salaried,50700.88,722,2016-01-14
701330,Mahesh Chowdhury,1991-05-08,M,QNHOI7058I,7173672258,Surat,Gujarat,Salaried,169152.93,592,2015-02-10
701331,Nandhini Reddy,2003-10-06,F,PATZX2242I,6112221908,Jaipur,Rajasthan,Farmer,18846.78,716,2014-12-25
701332,Bhavya Saha,1992-10-18,F,ZVZXL0358B,7376775928,Coimbatore,Tamil Nadu,Business,314455.79,748,2013-07-11
701333,Esther Mehta,1957-02-19,F,BYUZL8671C,6678603240,Bengaluru,Karnataka,Government Employee,76661.77,528,2010-02-16
701334,Esther Nair,1963-11-30,F,QLEOL9209C,8681085761,Surat,Gujarat,Government Employee,107488.29,621,2011-11-20
701335,Revathi Sen,1997-12-25,F,LXRKG4387Z,7158496106,Hyderabad,Telangana,Government Employee,74368.6,745,2022-08-09
701336,Farooq Nair,1961-12-22,M,ITUGM2955B,9748183725,Jaipur,Rajasthan,Business,337331.35,502,2012-12-23
701337,Mahesh Iyengar,1956-09-20,M,MNDLJ8195R,9977448341,Nashik,Maharashtra,Professional,444477.73,634,2012-08-21
701338,Anand Reddy,1999-06-21,M,JULWP4489L,8779179537,Mumbai,Maharashtra,Salaried,99167.59,727,2020-03-16
701339,Mani Das,1965-06-27,M,AXBXK2207R,6690999251,Hyderabad,Telangana,Salaried,147977.66,-1,2021-12-06
701340,Rohit Kumar,1999-12-11,M,AOXRS4554L,8954333807,Chennai,Tamil Nadu,Self Employed,258303.4,509,2014-07-03
701341,Jagan Chauhan,1977-11-06,M,RPRKS1747D,7016681613,Ranchi,Jharkhand,Professional,259874.21,632,2024-07-02
701342,Nitin Sen,1966-05-14,M,OSNQU8307V,6969436056,Coimbatore,Tamil Nadu,Salaried,128810.88,675,2010-03-24
701343,Rahul Tiwari,1979-06-14,M,IGYPA6924L,9717636803,Lucknow,Uttar Pradesh,Salaried,165720.66,-1,2015-02-14
701344,Dinesh Chowdhury,2002-05-11,M,EYKCZ0905K,7650917991,Ahmedabad,Gujarat,Salaried,145008.23,754,2011-04-06
701345,Praveen Joshi,1988-03-24,M,UGFFG7808K,9411245935,Bengaluru,Karnataka,Government Employee,122299.98,548,2011-05-30
701346,Jagan Pillai,1966-02-22,M,NXJCV3207O,6391172324,Coimbatore,Tamil Nadu,Salaried,158943.02,775,2018-07-21
701347,Sunitha Bhat,1982-11-13,F,RXPAU2235X,9269849435,Hyderabad,Telangana,Farmer,40009.72,699,2018-05-21
701348,Arjun Saha,1979-08-08,M,ZEJSY1922G,9298437949,Bhubaneswar,Odisha,Self Employed,183533.67,783,2013-01-17
701349,Devi Kumar,1977-02-18,F,BFYAC1622G,8728761829,Bengaluru,Karnataka,Farmer,49767.73,780,2024-02-08
701350,Bhavya Chelladurai,1972-05-11,F,HRFDD4156C,9152844320,Mumbai,Maharashtra,Professional,242086.83,702,2020-10-23
701351,Shanthi Chelladurai,1998-05-25,F,EHGBK7881R,7449336354,Jaipur,Rajasthan,Business,73821.97,716,2016-11-03
701352,Latha Desai,1977-11-16,F,FWKTD2812K,6243019868,Bengaluru,Karnataka,Salaried,36054.43,504,2016-07-16
701353,Anjali Singh,1959-04-29,F,GHVMG1599Q,8229282910,Mumbai,Maharashtra,Retired,35689.75,541,2017-02-19
701354,Rahul Dutta,1989-06-29,M,ZMXPR3352B,9006061899,Surat,Gujarat,Professional,213833.78,574,2022-02-14
701355,Arjun Nambiar,2001-11-13,M,LLCQZ4517V,8776069672,Lucknow,Uttar Pradesh,Self Employed,185873.42,636,2011-05-15
701356,Vijay Thakur,1999-12-25,M,MCIIS3746R,9060754395,Jaipur,Rajasthan,Salaried,83643.4,758,2023-10-07
701357,Rahul Balasubramanian,1968-11-23,M,NIENE5314R,6267984931,Chennai,Tamil Nadu,Business,458502.76,500,2013-08-11
701358,Ajay Tiwari,1983-08-10,M,JDKTA3963W,6112886509,Chennai,Tamil Nadu,Salaried,68425.17,639,2019-11-14
701359,Neha Patel,1992-10-16,F,FRAVA5518Z,6082960622,Pune,Maharashtra,Salaried,75057.95,544,2024-07-20
701360,Suresh Das,1957-11-17,M,CXZYS4513V,8926683124,Kolkata,West Bengal,Salaried,38572.67,522,2012-01-26
701361,Meena Balasubramanian,1957-12-07,F,SCRDJ1328V,7222482548,Pune,Maharashtra,Business,136168.48,810,2016-09-25
701362,Ganesh Rajendran,1980-04-09,M,YQJUX6218W,8504689686,Bengaluru,Karnataka,Government Employee,83642.63,679,2012-03-19
701363,Mani Roy,2000-11-16,M,DUKYJ5235O,6195399669,Pune,Maharashtra,Government Employee,131952.56,825,2023-10-31
701364,Tara Perumal,1958-10-31,F,ZHRYP1644K,6693495094,Kolkata,West Bengal,Salaried,40969.24,782,2015-09-08
701365,Ganesh Yadav,2001-07-03,M,DYYFU8758I,6238980437,Bengaluru,Karnataka,Self Employed,34587.81,582,2010-01-08
701366,Madhavi Dutta,1988-04-12,F,EZYRX6322I,9160504904,Bengaluru,Karnataka,Farmer,48374.44,-1,2014-05-05
701367,Lakshmi Patel,2001-10-06,F,VLJYA2059C,9673996128,Nashik,Maharashtra,Salaried,48962.92,493,2013-11-29
701368,Priya Rana,1996-04-29,F,CUOGX9919Y,7886453463,Patna,Bihar,Self Employed,146019.41,866,2018-03-06
701369,Madhavi Saha,1987-09-06,F,NUNUR6918O,9549833696,Chennai,Tamil Nadu,Retired,13840.92,631,2012-03-31
701370,Malathi Reddy,1964-04-26,F,SSSUA0923M,9794801248,Coimbatore,Tamil Nadu,Salaried,114135.07,561,2017-08-11
701371,Ravi Raman,1964-06-06,M,DKIZH8218N,6630978261,Mumbai,Maharashtra,Salaried,74275.04,735,2025-01-11
701372,Farooq Mukherjee,1992-02-03,M,ZGDUH2687X,6211021651,Chandigarh,Chandigarh,Business,162999.95,682,2011-01-10
701373,Kiran Balasubramanian,1974-01-31,F,FKYBA4381N,9981924014,Chennai,Tamil Nadu,Farmer,14946.76,606,2025-03-14
701374,Rekha Das,1988-07-04,F,VAYEH2673A,8179423569,Lucknow,Uttar Pradesh,Professional,417062.26,637,2019-04-01
701375,Naveen Tiwari,1962-09-25,M,JUHCL6086J,9546567574,Delhi,Delhi,Salaried,118776.29,685,2016-07-23
701376,Sowmya Naidu,1971-07-23,F,JGICW1522V,6444995598,Jaipur,Rajasthan,Government Employee,38384.34,677,2020-07-27
701377,Praveen Chauhan,1977-12-11,M,FCCSP2147H,9181751375,Madurai,Tamil Nadu,Business,333153.49,-1,2012-02-26
701378,Radha Pillai,1962-06-03,F,BIFUF3785G,6622133719,Nashik,Maharashtra,Business,302043.29,741,2021-07-24
701379,Praveen Saha,1987-11-08,M,THETV2997D,8360671391,Jaipur,Rajasthan,Salaried,106897.81,636,2012-09-08
701380,Ganesh Pillai,1957-08-07,M,TFYLJ5548L,7485114811,Chennai,Tamil Nadu,Self Employed,204004.48,637,2018-09-29
701381,Sathish Singh,1989-11-16,M,UUTOV3394C,6480088142,Kanpur,Uttar Pradesh,Salaried,48682.99,727,2023-03-18
701382,Janani Pandey,2001-08-16,F,MTUXW6937Y,9941674888,Chandigarh,Chandigarh,Business,180137.67,-1,2017-04-15
701383,Rajesh Desai,2004-05-25,M,TFJZY5442H,9488857722,Hyderabad,Telangana,Government Employee,41879.04,699,2012-11-22
701384,Lakshmi Elumalai,2001-04-12,F,LGMFH7070J,9937287060,Mumbai,Maharashtra,Business,357277.79,773,2023-04-08
701385,Vikram Elumalai,1998-03-24,M,XSIOD4553M,7107208580,Madurai,Tamil Nadu,Self Employed,262861.94,646,2018-03-09
701386,Mani Saha,1990-10-13,M,WBLII1978A,6419451608,Coimbatore,Tamil Nadu,Self Employed,130891.46,660,2018-12-02
701387,Bharath Rajendran,1979-07-06,M,IIGUR3795N,9305980478,Patna,Bihar,Salaried,135866.79,560,2012-06-24
